function_name,execution_time
create_static_radial_charts,0.09651226799905999
update_radial_chart,0.4706971369960229
update_team_options,0.8566457400011132
update_scatter_plot,1.3522822160011856
update_player_options,6.526625184997101
update_radial_chart,0.2751140510008554
update_scatter_plot,0.8617142830044031
update_player_options,5.980694400001084
update_radial_chart,0.008810033003101125
update_scatter_plot,0.3325681499991333
update_radial_chart,0.8953637160011567
update_team_options,1.236348596001335
update_radial_chart,0.4510720850012149
update_scatter_plot,2.4449035200013896
update_scatter_plot,1.8780335420015035
update_player_options,13.167851898993831
update_player_options,12.110111453999707
update_radial_chart,0.008685017994139344
update_scatter_plot,0.34293778899882454
